Source,Destination,Protocol
169.254.146.243,224.0.0.251,UDP
10.11.15.126,224.0.0.22,
10.11.17.0,169.254.146.243,UDP
10.11.17.0,169.254.146.243,UDP
10.11.15.126,224.0.0.251,UDP
10.11.15.126,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
10.11.15.126,224.0.0.251,UDP
10.11.15.126,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
10.11.15.126,224.0.0.22,
169.254.146.243,224.0.0.251,UDP
10.11.17.0,224.0.0.251,UDP
10.11.23.204,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
10.11.15.126,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
10.11.16.234,224.0.0.251,UDP
10.11.17.0,224.0.0.251,UDP
10.11.23.204,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.17.0,8.8.8.8,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
10.11.17.0,8.8.8.8,TCP
10.11.17.0,8.8.8.8,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
10.11.17.0,8.8.8.8,TCP
10.11.17.0,57.144.243.32,TCP
8.8.8.8,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
0.0.0.0,255.255.255.255,UDP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
57.144.243.32,10.11.17.0,TCP
10.11.17.0,57.144.243.32,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
57.144.243.32,10.11.17.0,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
10.11.17.0,57.144.243.32,TCP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.16.65,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.15.126,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.23.129,224.0.0.251,
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.23.129,224.0.0.251,UDP
10.11.17.0,224.0.0.251,UDP
10.11.23.129,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.23.204,224.0.0.251,UDP
10.11.17.0,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
10.11.17.0,8.8.8.8,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
10.11.17.0,8.8.8.8,TCP
10.11.17.0,8.8.8.8,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
10.11.17.0,8.8.8.8,TCP
10.11.17.0,8.8.8.8,TCP
10.11.17.0,17.248.239.64,TCP
0.0.0.0,255.255.255.255,UDP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
10.11.17.0,8.8.8.8,TCP
10.11.17.0,8.8.8.8,TCP
17.248.239.64,10.11.17.0,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
17.248.239.64,10.11.17.0,TCP
17.248.239.64,10.11.17.0,TCP
17.248.239.64,10.11.17.0,TCP
17.248.239.64,10.11.17.0,TCP
17.248.239.64,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,8.8.8.8,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
10.11.17.0,8.8.8.8,TCP
10.11.17.0,8.8.8.8,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
8.8.8.8,10.11.17.0,TCP
10.11.17.0,8.8.8.8,TCP
10.11.17.0,17.253.18.200,TCP
0.0.0.0,255.255.255.255,UDP
8.8.8.8,10.11.17.0,TCP
17.253.18.200,10.11.17.0,TCP
10.11.17.0,17.253.18.200,TCP
10.11.17.0,17.253.18.200,TCP
10.11.17.0,17.253.18.200,TCP
17.253.18.200,10.11.17.0,TCP
17.253.18.200,10.11.17.0,TCP
17.253.18.200,10.11.17.0,TCP
17.253.18.200,10.11.17.0,TCP
17.253.18.200,10.11.17.0,TCP
10.11.17.0,17.253.18.200,TCP
10.11.17.0,17.253.18.200,TCP
10.11.17.0,17.253.18.200,TCP
10.11.17.0,17.253.18.200,TCP
17.253.18.200,10.11.17.0,TCP
10.11.17.0,17.253.18.200,TCP
10.11.17.0,17.253.18.200,TCP
17.253.18.200,10.11.17.0,TCP
17.253.18.200,10.11.17.0,TCP
17.253.18.200,10.11.17.0,TCP
10.11.17.0,17.253.18.200,TCP
10.11.17.0,17.253.18.200,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,224.0.0.251,UDP
17.248.239.64,10.11.17.0,TCP
17.248.239.64,10.11.17.0,TCP
10.11.17.0,17.248.239.64,TCP
17.248.239.64,10.11.17.0,TCP
17.248.239.64,10.11.17.0,TCP
17.253.18.200,10.11.17.0,TCP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
17.248.239.64,10.11.17.0,TCP
17.248.239.64,10.11.17.0,TCP
17.248.239.64,10.11.17.0,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
0.0.0.0,255.255.255.255,UDP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
10.11.17.0,17.248.239.64,TCP
17.248.239.64,10.11.17.0,TCP
10.11.17.0,17.248.239.64,TCP
17.248.239.64,10.11.17.0,TCP
17.248.239.64,10.11.17.0,TCP
0.0.0.0,255.255.255.255,UDP
10.11.15.126,224.0.0.251,UDP
10.11.26.134,224.0.0.251,UDP
17.248.239.64,10.11.17.0,TCP
17.248.239.64,10.11.17.0,TCP
10.11.17.0,17.248.239.64,TCP
17.248.239.64,10.11.17.0,TCP
10.11.17.0,17.248.239.64,TCP
0.0.0.0,255.255.255.255,UDP
169.254.146.243,224.0.0.251,
10.11.20.8,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
169.254.146.243,224.0.0.251,UDP
10.11.17.0,169.254.146.243,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
57.144.243.33,10.11.17.0,TCP
10.11.17.0,57.144.243.33,TCP
10.11.17.0,57.144.243.33,TCP
57.144.243.33,10.11.17.0,TCP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
169.254.146.243,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
10.11.17.0,224.0.0.251,UDP
10.11.23.204,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.24.180,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
169.254.146.243,224.0.0.251,UDP
10.11.17.0,224.0.0.251,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.16.234,224.0.0.251,UDP
10.11.17.0,51.116.253.168,TCP
51.116.253.168,10.11.17.0,TCP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.16.65,224.0.0.251,UDP
10.11.17.0,142.251.154.119,UDP
142.251.154.119,10.11.17.0,UDP
10.11.20.8,224.0.0.22,
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.20.8,224.0.0.22,
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.17.0,172.64.41.3,UDP
10.11.17.0,172.64.41.3,UDP
10.11.17.0,172.64.41.3,UDP
10.11.17.0,172.64.41.3,UDP
10.11.17.0,172.64.41.3,UDP
172.64.41.3,10.11.17.0,UDP
172.64.41.3,10.11.17.0,UDP
172.64.41.3,10.11.17.0,UDP
172.64.41.3,10.11.17.0,UDP
172.64.41.3,10.11.17.0,UDP
10.11.17.0,172.64.41.3,UDP
10.11.17.0,172.64.41.3,UDP
10.11.17.0,172.64.41.3,UDP
172.64.41.3,10.11.17.0,UDP
172.64.41.3,10.11.17.0,UDP
172.64.41.3,10.11.17.0,UDP
172.64.41.3,10.11.17.0,UDP
10.11.17.0,172.64.41.3,UDP
10.11.17.0,172.64.41.3,UDP
172.64.41.3,10.11.17.0,UDP
10.11.17.0,172.64.41.3,UDP
172.64.41.3,10.11.17.0,UDP
172.64.41.3,10.11.17.0,UDP
172.64.41.3,10.11.17.0,UDP
10.11.17.0,172.64.41.3,UDP
10.11.17.0,142.250.76.162,UDP
10.11.17.0,142.250.76.162,UDP
10.11.17.0,142.250.76.162,UDP
10.11.17.0,142.250.76.162,UDP
10.11.17.0,142.250.76.162,UDP
142.250.76.162,10.11.17.0,UDP
142.250.76.162,10.11.17.0,UDP
142.250.76.162,10.11.17.0,UDP
142.250.76.162,10.11.17.0,UDP
10.11.17.0,142.250.76.162,UDP
142.250.76.162,10.11.17.0,UDP
142.250.76.162,10.11.17.0,UDP
10.11.17.0,142.250.76.162,UDP
142.250.76.162,10.11.17.0,UDP
142.250.76.162,10.11.17.0,UDP
10.11.17.0,142.250.76.162,UDP
142.250.76.162,10.11.17.0,UDP
142.250.76.162,10.11.17.0,UDP
10.11.17.0,142.250.76.162,UDP
142.250.76.162,10.11.17.0,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
0.0.0.0,255.255.255.255,UDP
10.11.23.204,224.0.0.251,UDP
10.11.17.0,224.0.0.251,UDP
